run_at,station,base_time,horizon_h,target_time,y_pred,persistence_pred,algorithm,warmup,pm25_pred,pm25_persistence,ox_pred,ox_persistence,algorithm_pm25,algorithm_ox,y_true_pm25,y_true_ox,error,abs_error,baseline_error,baseline_abs_error,pred_band,true_band,band_hit,ox_error,ox_abs_error,ox_baseline_error,ox_baseline_abs_error,y_true
2026-09-03 11:11:55,桃園,2026-09-03 10:00:00,1,2026-09-03 11:00:00,2.4,2.0,RandomForestRegressor,True,,,,,,,2.0,45.0,,,,,無資料,良好,0.0,,,,,2.0
2026-09-03 11:23:27,桃園,2026-09-03 11:00:00,1,2026-09-03 12:00:00,2.45,2.0,RandomForestRegressor,True,,,,,,,,,,,,,無資料,無資料,,,,,,
2026-09-03 11:11:55,桃園,2026-09-03 10:00:00,3,2026-09-03 13:00:00,2.88,2.0,RandomForestRegressor,True,,,,,,,,,,,,,無資料,無資料,,,,,,
2026-09-03 11:23:27,桃園,2026-09-03 11:00:00,3,2026-09-03 14:00:00,2.88,2.0,RandomForestRegressor,True,,,,,,,,,,,,,無資料,無資料,,,,,,
2026-09-07 11:25:26,桃園,2026-09-07 11:00:00,1,2026-09-07 12:00:00,9.66,10.0,RandomForestRegressor,True,,,,,,,,,,,,,無資料,無資料,,,,,,
2026-09-07 11:25:26,桃園,2026-09-07 11:00:00,3,2026-09-07 14:00:00,9.37,10.0,RandomForestRegressor,True,,,,,,,,,,,,,無資料,無資料,,,,,,
2026-09-15 14:37:28,桃園,2026-09-11 21:00:00,1,2026-09-11 22:00:00,,,,True,10.16,10.0,40.64,42.0,RandomForestRegressor,HistGradientBoostingRegressor,,,,,,,良好,無資料,,,,,,
2026-09-15 14:37:28,桃園,2026-09-11 21:00:00,3,2026-09-12 00:00:00,,,,True,9.28,10.0,36.89,42.0,RandomForestRegressor,HistGradientBoostingRegressor,,,,,,,良好,無資料,,,,,,
2026-09-15 15:32:41,桃園,2026-09-15 15:00:00,1,2026-09-15 16:00:00,,,,True,14.6,14.0,55.22,55.0,RandomForestRegressor,HistGradientBoostingRegressor,,,,,,,良好,無資料,,,,,,
2026-09-15 17:35:49,桃園,2026-09-15 17:00:00,1,2026-09-15 18:00:00,,,,True,18.18,19.0,53.73,55.0,RandomForestRegressor,HistGradientBoostingRegressor,,,,,,,普通,無資料,,,,,,
2026-09-15 15:32:41,桃園,2026-09-15 15:00:00,3,2026-09-15 18:00:00,,,,True,13.9,14.0,46.0,55.0,RandomForestRegressor,HistGradientBoostingRegressor,,,,,,,良好,無資料,,,,,,
2026-09-15 19:29:25,桃園,2026-09-15 19:00:00,1,2026-09-15 20:00:00,,,,True,19.86,21.0,65.07,64.0,RandomForestRegressor,HistGradientBoostingRegressor,,,,,,,普通,無資料,,,,,,
2026-09-15 17:35:49,桃園,2026-09-15 17:00:00,3,2026-09-15 20:00:00,,,,True,17.36,19.0,46.29,55.0,RandomForestRegressor,HistGradientBoostingRegressor,,,,,,,普通,無資料,,,,,,
2026-09-15 21:31:11,桃園,2026-09-15 21:00:00,1,2026-09-15 22:00:00,,,,True,26.03,28.0,66.19,67.0,RandomForestRegressor,HistGradientBoostingRegressor,,,,,,,普通,無資料,,,,,,
2026-09-15 19:29:25,桃園,2026-09-15 19:00:00,3,2026-09-15 22:00:00,,,,True,18.07,21.0,53.87,64.0,RandomForestRegressor,HistGradientBoostingRegressor,,,,,,,普通,無資料,,,,,,
2026-09-15 23:29:14,桃園,2026-09-15 23:00:00,1,2026-09-16 00:00:00,,,,True,22.99,26.0,65.92,68.0,RandomForestRegressor,HistGradientBoostingRegressor,,,,,,,普通,無資料,,,,,,
2026-09-15 21:31:11,桃園,2026-09-15 21:00:00,3,2026-09-16 00:00:00,,,,True,22.06,28.0,55.87,67.0,RandomForestRegressor,HistGradientBoostingRegressor,,,,,,,普通,無資料,,,,,,
2026-09-16 01:27:29,桃園,2026-09-16 01:00:00,1,2026-09-16 02:00:00,,,,True,20.4,23.0,58.81,59.0,RandomForestRegressor,HistGradientBoostingRegressor,,,,,,,普通,無資料,,,,,,
2026-09-15 23:29:14,桃園,2026-09-15 23:00:00,3,2026-09-16 02:00:00,,,,True,20.86,26.0,57.09,68.0,RandomForestRegressor,HistGradientBoostingRegressor,,,,,,,普通,無資料,,,,,,
2026-09-16 01:27:29,桃園,2026-09-16 01:00:00,3,2026-09-16 04:00:00,,,,True,17.49,23.0,52.46,59.0,RandomForestRegressor,HistGradientBoostingRegressor,,,,,,,普通,無資料,,,,,,
